id,symbol,startMonth,endMonth,leverage,wager,wagerMultiplayer,tpDiversionX100,slDiversionMultiplayer100,balance,minBalance,maxBalance,winNumber,errorNumber,maxPosition
1,BTCUSDT,202009,202009,1,10,1,150,100,470,0,500,50,48,160
2,BTCUSDT,202009,202010,1,10,1,150,100,880,0,890,89,86,320
3,BTCUSDT,202009,202011,1,10,1,150,100,1950,0,2020,202,196,320
4,BTCUSDT,202009,202012,1,10,1,150,100,3240,0,3270,327,318,320
5,BTCUSDT,202009,202101,1,10,1,150,100,4660,0,5480,722,720,1280
6,BTCUSDT,202009,202102,1,10,1,150,100,6870,0,6880,943,945,1280
7,BTCUSDT,202009,202103,1,10,1,150,100,8040,0,8040,1059,1063,1280
8,BTCUSDT,202009,202104,1,10,1,150,100,6660,0,9120,1176,1171,1280
9,BTCUSDT,202009,202105,1,10,1,150,100,10440,0,10470,1812,1791,1280
10,BTCUSDT,202009,202106,1,10,1,150,100,9590,0,11920,1980,1973,1280
11,BTCUSDT,202009,202107,1,10,1,150,100,10420,0,11920,2077,2069,1280
12,BTCUSDT,202009,202108,1,10,1,150,100,11150,0,11920,2150,2142,1280
13,BTCUSDT,202009,202109,1,10,1,150,100,9730,0,11920,2251,2248,1280
14,BTCUSDT,202009,202110,1,10,1,150,100,8090,0,11920,2340,2328,1280
15,BTCUSDT,202009,202009,1,10,1,150,150,350,-380,380,38,44,640
16,BTCUSDT,202009,202010,1,10,1,150,150,730,-380,740,74,70,640
17,BTCUSDT,202009,202011,1,10,1,150,150,1730,-380,1730,173,152,640
18,BTCUSDT,202009,202012,1,10,1,150,150,2830,-380,2830,283,242,640
19,BTCUSDT,202009,202101,1,10,1,150,150,6450,-380,6520,652,548,640
20,BTCUSDT,202009,202102,1,10,1,150,150,8570,-380,8580,858,723,640
21,BTCUSDT,202009,202103,1,10,1,150,150,9600,-380,9600,960,827,640
22,BTCUSDT,202009,202104,1,10,1,150,150,10830,-380,10830,1083,919,640
23,BTCUSDT,202009,202105,1,10,1,150,150,16330,-380,16360,1636,1383,640
24,BTCUSDT,202009,202106,1,10,1,150,150,17790,-380,17790,1779,1521,640
25,BTCUSDT,202009,202107,1,10,1,150,150,18740,-380,18750,1875,1589,1280
26,BTCUSDT,202009,202108,1,10,1,150,150,19390,-380,19420,1942,1644,1280
27,BTCUSDT,202009,202109,1,10,1,150,150,20330,-380,20360,2036,1722,1280
28,BTCUSDT,202009,202110,1,10,1,150,150,21080,-380,21090,2109,1794,1280
29,BTCUSDT,202009,202009,1,10,1,150,200,300,-70,330,33,36,160
30,BTCUSDT,202009,202010,1,10,1,150,200,630,-70,640,64,62,160
31,BTCUSDT,202009,202011,1,10,1,150,200,1570,-70,1570,157,136,160
32,BTCUSDT,202009,202012,1,10,1,150,200,2500,-70,2510,251,211,160
33,BTCUSDT,202009,202101,1,10,1,150,200,5780,-70,5790,579,475,160
34,BTCUSDT,202009,202102,1,10,1,150,200,7410,-70,7420,742,620,160
35,BTCUSDT,202009,202103,1,10,1,150,200,8200,-70,8210,821,691,160
36,BTCUSDT,202009,202104,1,10,1,150,200,9170,-70,9170,917,769,160
37,BTCUSDT,202009,202105,1,10,1,150,200,13580,-70,13590,1359,1128,640
38,BTCUSDT,202009,202106,1,10,1,150,200,9820,-70,13790,1492,1238,1280
39,BTCUSDT,202009,202107,1,10,1,150,200,10610,-70,13790,1572,1297,1280
40,BTCUSDT,202009,202108,1,10,1,150,200,11140,-70,13790,1627,1342,1280
41,BTCUSDT,202009,202109,1,10,1,150,200,12090,-70,13790,1720,1403,1280
42,BTCUSDT,202009,202110,1,10,1,150,200,12800,-70,13790,1791,1457,1280
